0106 f0
0115 00
014f 00
016d 18
0174 00
0175 00
017b 02
017e 00
017f 00
0184 00
0192 00
01cc 20
01cf 20
01ec 00
01f3 01
01f4 80
0312 00
0326 36
0330 08
034a 0c
034f 00
036d 02
037b 03
037e 00
0392 00
03cf 30
03ec 00
0506 78
0507 07
0512 00
0547 10
054a 0c
056b 06
056c 00
05cd ff
05d3 01
05ea c0
05ef 28
05fc 20
072f 00
0747 18
0754 00
075e 00
075f 00
0764 00
07b9 03
07d3 01
07d4 80
07e8 01
07ea 40
07f5 f8
07fc 60
0908 00
090d 20
0912 20
092f 20
094e 01
094f 00
0973 02
098a 00
098c 0d
0993 08
09b7 00
09d0 00
09eb 00
0b32 00
0b42 01
0b51 30
0b73 0e
0b87 1c
0ba6 2c
0bcb fc
0beb 00
0d26 00
0d41 00
0d42 01
0d43 80
0d51 30
0d6c 0c
0d89 00
0d97 88
0da6 2c
0dd0 18
0dd1 8c
0f41 00
0f53 00
0f65 01
0f66 e0
0f6c fd
0f92 00
0f97 00
0fb0 00
0fd0 38
0fd1 8c
0fd2 0c
1110 0f
1111 be
1143 03
1144 80
114b 60
1150 00
1151 82
116e 60
1170 00
118c 00
1197 04
11af 60
11b3 80
11c4 00
11c5 00
1310 0b
1364 0f
1370 00
1386 07
138b 0d
1397 fc
13ac 8c
13b3 80
13d0 00
13f8 00
150d 80
150f 03
152a 00
1544 c0
1548 00
1567 80
156e 40
156f 00
1573 c1
1574 00
1575 00
1586 01
1593 83
15cc 9d
15f1 04
170d 80
170f 03
1710 0e
1731 80
1744 c0
1748 06
1775 07
1793 82
17ad e0
17cc c6
17eb 30
17ed 00
